법령일련번호,법령명,법령구분,소관부처,시행일자
253527,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,법률,문화체육관광부,20230808
277805,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,대통령령,문화체육관광부,20251001
266637,119구조ㆍ구급에 관한 법률,법률,소방청,20250604
285419,119구조ㆍ구급에 관한 법률 시행령,대통령령,소방청,20260407
204611,1980년해직공무원의보상등에관한특별조치법시행령,대통령령,인사혁신처,20180921
281977,1인 창조기업 육성에 관한 법률,법률,중소벤처기업부,20260331
280537,1인 창조기업 육성에 관한 법률 시행령,대통령령,중소벤처기업부,20251223
265869,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,법률,문화체육관광부,20241022
281065,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,대통령령,문화체육관광부,20260102
277307,2025 경주 아시아태평양경제협력체 정상회의 지원 특별법,법률,외교부,20251001
162682,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,법률,해양수산부,20150101
277281,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,법률,국무조정실,해양수산부,20260102
268565,5ㆍ18민주유공자예우 및 단체설립에 관한 법률,법률,국가보훈부,20250422
284651,5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행령,대통령령,국가보훈부,20260324
246621,5ㆍ18민주화운동 관련자 보상 등에 관한 법률,법률,행정안전부,20221227
281019,5ㆍ18민주화운동 관련자 보상 등에 관한 법률 시행령,대통령령,행정안전부,20260102
235549,5ㆍ18민주화운동 등에 관한 특별법,법률,국방부,법무부,20220701
260413,6ㆍ25 전사자유해의 발굴 등에 관한 법률,법률,국방부,20240517
280063,가덕도신공항 건설을 위한 특별법,법률,국토교통부,20260303
283651,가덕도신공항 건설을 위한 특별법 시행령,대통령령,국토교통부,20260303
276455,가맹사업 진흥에 관한 법률,법률,산업통상부,20251001
268283,가맹사업거래의 공정화에 관한 법률,법률,공정거래위원회,20250121
284653,가맹사업거래의 공정화에 관한 법률 시행령,대통령령,공정거래위원회,20260324
232959,가사근로자의 고용개선 등에 관한 법률,법률,고용노동부,20220616
267779,가사근로자의 고용개선 등에 관한 법률 시행령,대통령령,고용노동부,20241231
265309,가사소송법,법률,법무부,20260101
260801,가상융합산업 진흥법,법률,과학기술정보통신부,20240828
261099,가상자산 이용자 보호 등에 관한 법률,법률,금융위원회,20240719
